gene_id	gene_biotype	log2FC	qval
APOH	protein_coding	2.90853019300298	3.75037485412556e-163
NR4A1	protein_coding	2.09522381429318	2.07684252198175e-156
MSTRG.27838	NA	-4.37145275754597	2.07684252198175e-156
IL11	protein_coding	-2.9511390753661	7.707938552972e-143
AXL	protein_coding	-1.94717412354165	1.15671599859625e-132
PMP22	protein_coding	-1.60415988748546	6.35882682812961e-116
CDH4	protein_coding	-3.27947576689924	1.26069419804718e-103
COL5A1	protein_coding	-2.22587597729948	1.78785088548177e-100
EFHD2	protein_coding	-1.46352751175112	1.3965435952487e-96
LOXL2	protein_coding	-2.00683608295428	8.35263040495242e-90
P4HA3	protein_coding	-2.38766224409308	3.66219657574868e-83
CX3CL1	protein_coding	3.72465521097513	1.80876878840802e-82
HAPLN3	protein_coding	-2.44254378399629	2.03738268147698e-82
KCNK5	protein_coding	2.49550062561093	2.64858311009869e-81
FOS	protein_coding	1.2676528393106	1.03282469675528e-77
FGFR4	protein_coding	1.50401225425723	6.82824894614228e-76
SEMA4G	protein_coding	1.81517138310882	9.03863508034717e-75
PTGES	protein_coding	-1.3948487149677	9.00617851840288e-73
FGG	protein_coding	2.4682275457506	2.85968270605882e-72
OSGIN1	protein_coding	1.17152380050067	5.39541730842197e-72
DNAJC22	protein_coding	1.48836328746942	2.84128092398019e-71
LGALS1	protein_coding	-1.09287215890306	5.51176227543688e-71
NRP2	protein_coding	-1.7206397553794	6.62884761359389e-70
MSTRG.17727	NA	-1.62403974576883	1.04818068247216e-69
AFAP1	protein_coding	-1.38530882605158	1.88182800901986e-69
KCNMA1	protein_coding	-3.47893117048448	4.44158295750133e-69
KRT7	protein_coding	-1.14218821597004	2.85639685460579e-68
COTL1	protein_coding	-1.12131857592891	4.57220535575304e-68
GFRA1	protein_coding	-4.66873185433163	1.55329464720832e-67
IGFBP4	protein_coding	-1.31806948027009	1.89479760065708e-67
SH3BGRL2	protein_coding	2.3787763970179	3.66383297742296e-66
