gene_id	length	eff_length	est_counts	tpm
5S_rRNA	1259	214.52	1.5	3.370166
5_8S_rRNA	1369	214.2639	159.75	264.4527
A1BG	9209	7862.584	8.67483	0.4566518
A1BG-AS1	13082	10658.317	51.99996	1.7169452
A1CF	31017	28593.218	221.00046	1.4854622
A2M-AS1	9430	8352.76	41.99997	0.7829578
A2ML1	15741	13317.759	2	0.05381864
A3GALT2	1023	753.694	3	0.157553
A4GALT	9936	8052.643	112.00011	5.340763
AAAS	34773	28848.576	3208.00267	92.897497
AACS	25778	22546.916	1281.92613	16.6488227
AACSP1	3917	3378.384	8	0.124048
AADAC	2282	1743.384	37.5985	3.30943
AADACL2	14402	13324.76	2	0.0172897
AADACL2-AS1	1338	606.2048	1	2.38322
AADACP1	8212	6326.91	94.59352	5.154327
AADAT	11657	9502.6	341.99943	8.828288
AAGAB	10077	8192.028	668.63523	14.424118
AAK1	46502	43001.513	134.12013	0.7223214
AAMDC	6265	3304.026	248.00397	36.2758744
AAMP	13558	10865.075	2593.00469	112.350897
AANAT	4158	3080.882	3.000002	0.189566
AAR2	31125	27893.28	1864.43073	34.917837
AARD	2791	2252.494	1	0.0195787
AARS1	131955	120644.383	7587.23267367531	98.8522750680853
AARS2	5533	4994.384	522	4.943721
AARSD1	12838	7725.341	1121.40958	59.839526
AARSD1P1	1182	912.694	3.22978	0.140071
AASDH	24560	21869.077	262.00029	3.297514
AASDHPPT	10361	9014.617	1924.95231	37.0978466
AASS	103052	95780.638	14.9999992749	0.110847610505
AATBC	7419	6611.074	2	0.0182883
AATF	50456	41853.12	4698.0037899	105.98074328
AATK	29271	26310.528	18.028584	0.3798072
ABALON	1903	1633.69	4	0.0969145
ABAT	26489	22180.843	27.42665	0.339742
ABCA1	24091	22744.478	96.00004	0.4100777
ABCA10	36023	32533.416	5	0.1787907
ABCA11P	6851	5773.76	70.7747	1.769045
ABCA12	16788	15980.184	51	0.223586
ABCA15P	4804	3726.95	11	1.1659657
ABCA17P	11103	9240.3756	1	0.0276664
ABCA2	64968	59159.2308	1575.36631191	24.5523018308
ABCA3	20034	18418.152	441.99991	3.292633
ABCA3P1	637	367.758	2	0.215262
ABCA4	13456	11593.6234	11	0.2531788
ABCA5	35471	31700.93	280	4.4974319
ABCA6	19752	17868.951	8.84019	0.0441995
ABCA7	32479	27636.172	387.0001118	3.76809427
ABCA8	33296	29526.125	1	0.155355
ABCA9	18059	15971.0721	4.0013	0.10926178
ABCB1	20792	17830.081	2	0.0186064
ABCB10	5358	4550.169	118.21754	1.414887
ABCB11	17741	15588.088	1.00007	0.00593952
ABCB4	25968	22737.456	8	0.0923282
ABCB5	14863	13247.208	10.7206	0.0835212
ABCB6	16129	12628.347	1766.26731	43.296467
ABCB7	34202	29624.182	686.037390187658	19.5076530017183
ABCB8	33889	27965.047	1362.905549	24.9986913
ABCB9	42004	36627.287	268.11122338538	5.2398172437812
ABCC1	64375	59527.626	9942.84771495	80.7774122058
ABCC10	19002	16350.9505	326.00011	6.075669
ABCC11	27018	24594.468	7	0.0709748
ABCC12	42507	38745.631	40.99999	0.4920436
ABCC2	16110	13417.015	13375.8185	118.857724
ABCC3	29803	24961.461	17536.45315	300.852971
ABCC4	43400	39103.908	3825.94213006948	28.8299060013843
ABCC5	32353	28852.176	736.9996	8.926161
ABCC5-AS1	469	199.82	1	0.198089
ABCC6	37935	33626.312	232.44176	6.3642775
ABCC6P1	11680	10064.148	30.4891	1.412935
ABCC6P2	2598	1520.958	16.069040251258	1.5306760224655
ABCC8	390247	363317.018	53.049583164756	0.68988930168091
ABCC9	79424	74037.808	10.29555	0.1077403
ABCD1	5353	4545.142	116.99998	2.550537
ABCD2	6290	6020.69	3	0.0197231
ABCD3	16851	14965.997	2027.1858	45.123225
