gene_id	length	eff_length	est_counts	tpm
5_8S_rRNA	1369	291.8591	339.375	400.44
A1BG	9209	7830.24	26.23028	3.6408975
A1BG-AS1	13082	10600.03	86.00003	2.4491819
A1CF	31017	28534.988	47.339214	0.3547373
A2M-AS1	9430	8326.88	39	0.696811
A2ML1-AS2	386	114.479	1	0.332939
A3GALT2	1023	747.224	1	0.0510083
A4GALT	9936	8007.173	279.99975	8.091554
AAAS	34773	28706.008	2742.00146	71.205958
AACS	25778	22469.244	1144.95297	14.7639959
AACSP1	3917	3365.444	28	0.419134
AADAC	2282	1730.444	39.2295	3.37351
AADACL2	14402	13298.88	1	0.00833612
AADACL2-AS1	1338	634.7089	1.15543	0.125018
AADACL3	7887	7335.44	1	0.0107177
AADACP1	8212	6281.59	35.47141	2.0075734
AADAT	11657	9450.81	314.0004	7.46749
AAGAB	10077	8146.647	910.37873	25.479017
AAK1	46502	42917.211	231.20542	1.2793211
AAMDC	6265	3232.882	265.88237	38.71823
AAMP	13558	10800.288	4221.99718	177.053636
AANAT	4158	3055.024	6.999995	0.1883546
AAR2	31125	27815.64	1535.0003	27.445609
AARS1	131955	120372.504	8295.915463	104.073665034
AARS2	5533	4981.444	640	5.543246
AARSD1	12838	7601.821	1103.87195	54.5571453
AASDH	24560	21803.991	275.0002	3.396163
AASDHPPT	10361	8982.18	2096.9986	40.524044
AASS	103052	95605.948	14.0000021666613	0.163434158462108
AATF	50456	41644.876	5166.001595	115.40283721
AATK	29271	26239.147	10.00811	0.20160547
ABALON	1903	1627.22	4	0.0936924
ABAT	26489	22077.054	26.10665	0.2964888
ABCA1	24091	22712.068	1483.99493	5.6949429
ABCA10	36023	32449.0181	16	0.106387
ABCA11P	6851	5747.88	44.65635	1.2101405
ABCA12	16788	15960.778	59.99997	0.6055496
ABCA13	48394	46187.893	4	0.0362632
ABCA15P	4804	3700.956	16.99997	0.8833091
ABCA17P	11103	9195.3484	3	0.080285
ABCA2	64968	59021.815	1467.0433900503	17.544109400245
ABCA3	20034	18379.332	812.00027	5.637669
ABCA4	13456	11548.5881	2	0.0108093
ABCA5	35471	31610.206	293.12029	4.2198923
ABCA6	19752	17823.412	4.00123	0.0192795
ABCA7	32479	27519.047	516.99936	5.5845988
ABCA8	33296	29435.481	8	0.0870585
ABCA9	18059	15922.4998	1	0.0330792
ABCB1	20792	17758.771	2	0.0479965
ABCB10	5358	4530.702	240.36704	3.041862
ABCB10P1	6543	5715.66	3	0.0600159
ABCB11	17741	15536.16	1	0.0216042
ABCB5	14863	13208.358	1	0.0193355
ABCB6	16129	12544.025	1463.91016	32.941479
ABCB7	34202	29513.957	951.079374933362	27.8976357856412
ABCB8	33889	27822.286	1857.4928	34.962197
ABCB9	42004	36497.395	239.02388	4.5447796
ABCC1	64375	59411.098	9549.11416	72.267781
ABCC10	19002	16286.8784	464.00014	9.224509
ABCC11	27018	24536.094	3.01634	0.0479064
ABCC12	42507	38654.655	20	0.3199841
ABCC2	16110	13352.281	8308.43721	72.282224
ABCC3	29803	24844.167	12693.8282	224.535728
ABCC4	43400	39000.151	2912.9808023617	20.47354176949
ABCC5	32353	28767.952	1044.00056	10.352441
ABCC6	37935	33522.804	153.3738196	4.211689103
ABCC6P1	11680	10025.328	18.626184	0.9227882
ABCC6P2	2598	1494.964	15.0000000185349	1.32889000161946
ABCC8	390247	362669.774	35.000012922	0.6745454758
ABCC9	79424	73908.408	7.11261	0.0678779
ABCD1	5353	4525.702	165.9999	2.330872
ABCD3	16851	14920.62	2040.51198	37.617005
ABCD4	30518	22802.529	959.36663	35.099776
ABCE1	13267	10510.063	5287.99652	74.762003
ABCF1	95837	82402.2462	2521.70911	44.4317385
ABCF2	7396	6077.3458	2705.0295	37.670974
ABCF2-H2BK1	2185	1909.22	1686.42	33.6667
ABCF3	20582	15618.35	1214.99949	30.74148
ABCG1	27939	24905.428	37.00288	0.6014617
ABCG2	14605	13226.24	1674.8911	23.459253
ABCG4	13493	11838.42	5	0.0538917
ABCG5	11201	10097.88	1	0.0170442
ABCG8	12249	11421.66	4.01554	0.0550103
ABHD1	10893	8686.974	22.42227	0.9907866
ABHD10	6358	4979.112	1310.005	34.55496
ABHD11	13306	9446.368	201.47857	12.104022
ABHD12	26384	19765.587	643.24969	22.6397127
ABHD13	5313	5037.22	715	5.41011
ABHD14A	4232	2853.154	198.50958	9.9671994
ABHD14A-ACY1	55711	47713.531	61.2041800101294	2.03375990011517
ABHD14B	12619	10412.9	964.00033	27.107424
ABHD15	3492	3216.22	489.888	5.80554
ABHD16A	115586	88048.236	506.00019223711	19.0004548192192
ABHD17A	18687	16480.768	669.54315	6.6064443
ABHD17B	4377	3825.44	564	10.4323
ABHD17C	8021	6642.176	848.00032	15.593252
ABHD18	17533	15878.358	267.66422	4.404807
ABHD2	15733	12975.521	5388.00041	27.745379
ABHD3	11997	9277.4976	388.34066	12.887212
ABHD4	9054	6414.1382	2850.27684	56.318182
ABHD5	28268	23855.677	746.00057	17.4440666
ABHD6	7586	5682.6321	213.83232	4.99583
ABHD8	3167	2339.736	112	2.41693
ABI1	39212	35626.864	1078.56666	15.387623
ABI2	60976	54357.829	2174.647	23.1616701
ABI3BP	49452	41521.1397	114.999994	2.0713248
ABITRAM	3350	2250.753	792.42379	19.415294
ABL1	12829	12001.721	3879.888103	26.492566
ABL2	51826	47966.222	1585.00098	6.598854
ABLIM1	44713	40589.3207	1648.33751	10.4981591
ABLIM2	39930	35277.1908	3.000001	0.6878337
ABLIM3	26753	23719.676	677.90143	7.4107143
ABO	11951	10024.238	8	0.4239989
ABR	122394	94861.6765	4571.73633013807	67.5570219153762
ABRACL	1238	686.612	517.692	38.9781
ABRAXAS1	15206	12724.064	406.0482461	9.329105327
ABRAXAS2	2955	2679.22	844	12.0067
ABT1	2943	2667.22	717	10.2459
ABTB1	20501	16364.523	326.99983	7.526001
ABTB2	5471	4919.478	917	7.5501
ABTB3	20146	18215.586	1035.07853	8.906458
ACAA1	23594	18630.159	1174.99935	37.1116489
ACAA2	10177	8246.643	2394.99658	61.341127
ACACA	122089	109440.7968	5157.425872	36.0891339
ACACB	38581	34495.061	645.62535122996	5.61852090515601
ACAD10	32695	26077.697	834.01559	12.751784
ACAD11	18787	16029.288	523.231865	10.97100385
ACAD8	24051	19363.036	599.05194	12.994937
ACAD9	73163	64889.722	1406.03725	27.2473302
ACAD9-DT	4088	3260.933	9	0.6265752
ACADL	8692	7313.112	1	0.0170214
ACADM	160280	143457.665	1360.17676984636	33.9939048050715
ACADS	4399	3571.664	432.0001	11.04218
ACADSB	8543	7439.999	1008.00005	9.433108
ACADVL	33884	23185.4816	8593.08779	292.988294
ACAN	46651	44444.768	1	0.00525703
ACAP1	12833	9653.1506	5	1.9140032
ACAP2	20656	16589.1568	1115.99864	8.4660018
ACAP2-IT1	690	414.224	2	0.184029
ACAP3	21846	18335.8202	621.72189	28.4622823
ACAT1	23239	17172.681	3168.83395	162.7934606
ACAT2	4017	3189.664	1697.99821	52.799609
ACBD3	3878	3363.1196	1574	18.1343
ACBD4	20858	16445.746	429.38163	12.112909
ACBD5	94759	86761.388	1829.08674007102	23.2380350008104
ACBD6	19075	16868.84	1894.0006	62.837773
ACBD7	3844	3292.576	95	1.17021
ACCS	13712	10131.684	783.29602	22.841416
ACD	61388	49283.632	723.00026	24.374107
ACE	33609	27819.316	14.9999930783481	0.43422650411197
ACER2	2773	2497.22	77	1.17524
ACER3	120470	110817.796	1747.1131638	18.010159194
ACHE	24778	20917.241	13.999996003744	0.27124791712375
ACIN1	42379	36045.799	5034.57893	72.137578
ACKR2	12651	9617.615	1	0.0450941
ACKR3	2728	2176.444	287.354	7.009723
ACKR4	2734	2183.073	8	0.149894
ACLY	22539	19781.494	27277.21401	290.106531
ACO1	14662	13834.66	1465.06	14.5643
ACO2	86407	77857.9	2579.00296	45.0169521
ACOT1	2957	2405.444	35.1913	0.951129
ACOT11	15293	13914.181	95.12858	1.2807583
ACOT12	4130	3026.926	1	0.0210552
ACOT13	9165	8337.664	241.147	10.08333
ACOT2	5151	4050.291	809.27229	24.98542
ACOT4	1465	1189.22	66	2.1153
ACOT7	12720	10237.988	1458.00013	44.878244
ACOT8	16308	12722.938	360.99964	16.7952603
ACOT9	13693	11486.904	2604.27319	55.3512679
