target_id	ens_gene	ext_gene	biotype	log2FC	qval	intergenic	tss	poly_a	tss_poly_a	protein_potential_bool	protein_potential	score
MSTRG.9344.1	NA	NA	NA	0.756074239122215	0.000310253017712847	TRUE	TRUE	TRUE	TRUE	TRUE	0.00666857868178258	6
MSTRG.2186.1	NA	NA	NA	-2.00481805155778	0.0470889529922519	TRUE	TRUE	TRUE	TRUE	TRUE	0.0852707409697076	6
MSTRG.18895.9	NA	NA	NA	-2.02471045628022	7.73378513913882e-31	FALSE	TRUE	TRUE	TRUE	TRUE	0.140592255743424	4
MSTRG.6344.6	NA	NA	NA	1.16222185966746	7.3718382881812e-26	FALSE	TRUE	TRUE	TRUE	TRUE	0.00927051684070458	4
MSTRG.3727.6	NA	NA	NA	1.61583087339551	1.71639377151294e-23	FALSE	TRUE	TRUE	TRUE	TRUE	0.0499063474656684	4
MSTRG.3727.7	NA	NA	NA	1.41409292001569	1.37732256028188e-22	FALSE	TRUE	TRUE	TRUE	TRUE	0.0464455870899225	4
MSTRG.18608.7	NA	NA	NA	-0.658803287776448	1.85873156449682e-19	FALSE	TRUE	TRUE	TRUE	TRUE	0.0340975488586519	4
MSTRG.4723.6	NA	NA	NA	-1.44290493127787	5.57720162082939e-19	FALSE	TRUE	TRUE	TRUE	TRUE	0.00330008066102946	4
MSTRG.5100.1	NA	NA	NA	0.668443914288901	5.54199398574002e-18	FALSE	TRUE	TRUE	TRUE	TRUE	0.112527364820244	4
MSTRG.21378.7	NA	NA	NA	-7.34635935179503	1.75173741328358e-17	FALSE	TRUE	TRUE	TRUE	TRUE	0.0028685230800799	4
MSTRG.26519.4	NA	NA	NA	1.93739073914159	4.62361231975663e-17	FALSE	TRUE	TRUE	TRUE	TRUE	0.094292935660838	4
MSTRG.24683.5	NA	NA	NA	-1.49541860728237	1.17605933468819e-16	FALSE	TRUE	TRUE	TRUE	TRUE	0.0141314070375973	4
MSTRG.27331.5	NA	NA	NA	0.736039267911728	1.38269185817177e-15	FALSE	TRUE	TRUE	TRUE	TRUE	6.87209465475615e-05	4
MSTRG.20335.16	NA	NA	NA	0.845512043327642	1.46168574208969e-15	FALSE	TRUE	TRUE	TRUE	TRUE	0.122339936574752	4
MSTRG.15144.2	NA	NA	NA	-1.80391851204453	3.12655063646903e-15	FALSE	TRUE	TRUE	TRUE	TRUE	0.0123759622123872	4
MSTRG.30487.36	NA	NA	NA	1.03216276864118	1.30931621365727e-14	FALSE	TRUE	TRUE	TRUE	TRUE	0.0253888162397483	4
MSTRG.18233.1	NA	NA	NA	-1.44236129477929	1.49615630627644e-14	FALSE	TRUE	TRUE	TRUE	TRUE	2.77988501939756e-09	4
MSTRG.14864.1	NA	NA	NA	4.03723501507045	4.97358975092883e-14	FALSE	TRUE	TRUE	TRUE	TRUE	0.0313279040848581	4
MSTRG.17500.4	NA	NA	NA	-3.22292413251481	1.19970847634613e-13	FALSE	TRUE	TRUE	TRUE	TRUE	0.113250634764069	4
MSTRG.11027.1	NA	NA	NA	0.740256228662569	1.80487836802886e-13	FALSE	TRUE	TRUE	TRUE	TRUE	0.00052609998983266	4
MSTRG.28360.4	NA	NA	NA	1.01281383779301	3.99852697145237e-13	FALSE	TRUE	TRUE	TRUE	TRUE	0.00285477588218729	4
MSTRG.18462.19	NA	NA	NA	6.08907325438446	4.3257996303004e-13	FALSE	TRUE	TRUE	TRUE	TRUE	0.131609156501296	4
MSTRG.7723.5	NA	NA	NA	-0.536612395525648	4.52659924591852e-13	FALSE	TRUE	TRUE	TRUE	TRUE	0.0452511542686227	4
MSTRG.18233.2	NA	NA	NA	-1.11720688832117	2.49194206397872e-12	FALSE	TRUE	TRUE	TRUE	TRUE	2.77988501939756e-09	4
MSTRG.21571.5	NA	NA	NA	-0.528637985476375	3.16461281612696e-11	FALSE	TRUE	TRUE	TRUE	TRUE	0.0171682235951583	4
MSTRG.14864.2	NA	NA	NA	4.26598699462385	7.46357232620365e-11	FALSE	TRUE	TRUE	TRUE	TRUE	0.0313279040848581	4
MSTRG.30184.5	NA	NA	NA	0.620919421626735	1.47093211191756e-10	FALSE	TRUE	TRUE	TRUE	TRUE	0.236390600083916	4
