target_id	ens_gene	ext_gene	biotype	log2FC	qval
ENST00000371817.8	ENSG00000130635	COL5A1	protein_coding	-2.27862171323235	6.0975001393827e-195
MSTRG.27838.2	NA	NA	NA	-4.37145275754597	1.33327666874091e-139
ENST00000549078.5	ENSG00000111057	KRT18	retained_intron	1.77037028029114	3.07483662676448e-102
ENST00000551295.7	ENSG00000018236	CNTN1	protein_coding	1.51360255747071	1.73204588736243e-97
ENST00000394945.6	ENSG00000152377	SPOCK1	protein_coding	-3.03442937148904	3.6305443616765e-91
ENST00000373700.9	ENSG00000148634	HERC4	protein_coding	-1.77415461615303	4.67270696126364e-91
ENST00000205948.11	ENSG00000091583	APOH	protein_coding	2.74275420365651	7.45642055945261e-91
ENST00000448775.4	ENSG00000166250	CLMP	protein_coding	-2.17885409776303	9.05745569362428e-90
ENST00000375980.9	ENSG00000142634	EFHD2	protein_coding	-1.47912933515515	3.74622300950346e-85
ENST00000401412.5	ENSG00000106541	AGR2	protein_coding	2.03291179225147	9.45251114989545e-83
ENST00000359534.4	ENSG00000164626	KCNK5	protein_coding	2.49550062561093	1.27825870940633e-80
ENST00000264563.7	ENSG00000095752	IL11	protein_coding	-3.04952160255878	1.55210653492312e-78
ENST00000389131.8	ENSG00000134013	LOXL2	protein_coding	-2.03836014119498	8.26110011331623e-78
ENST00000418331.7	ENSG00000149177	PTPRJ	protein_coding	-1.59972647202287	5.19857170455914e-75
ENST00000379019.7	ENSG00000125772	GPCPD1	protein_coding	1.57521164622599	1.87606110078182e-72
ENST00000302068.9	ENSG00000171564	FGB	protein_coding	1.99791994344951	8.45031880238757e-71
ENST00000262065.8	ENSG00000108960	MMD	protein_coding	1.33262097474169	3.55213850228227e-67
ENST00000269593.5	ENSG00000141753	IGFBP4	protein_coding	-1.31806948027009	1.19751615361182e-66
ENST00000272849.7	ENSG00000118257	NRP2	protein_coding	-1.76487594905146	2.06412782355414e-66
ENST00000371941.4	ENSG00000124126	PREX1	protein_coding	-1.8230322833244	1.01463971328844e-65
ENST00000369838.6	ENSG00000198478	SH3BGRL2	protein_coding	2.3787763970179	2.05091599026458e-65
ENST00000311620.7	ENSG00000175311	ANKS4B	protein_coding	2.59640797558566	3.16344876619584e-65
ENST00000367033.4	ENSG00000076356	PLXNA2	protein_coding	2.80390784496131	1.33840979609834e-64
ENST00000006053.7	ENSG00000006210	CX3CL1	protein_coding	3.67632542187703	3.82333345277537e-64
ENST00000296027.5	ENSG00000163735	CXCL5	protein_coding	-2.08081039007088	5.63065955791771e-64
ENST00000338380.2	ENSG00000124107	SLPI	protein_coding	2.73890281357787	8.72851001548126e-64
ENST00000392951.9	ENSG00000149591	TAGLN	protein_coding	-2.26979603798146	2.80047025747982e-62
ENST00000522677.8	ENSG00000185697	MYBL1	protein_coding	-1.75854589763029	4.304207271088e-61
ENST00000215909.10	ENSG00000100097	LGALS1	protein_coding	-1.09884721256739	3.02562958934329e-60
ENST00000269228.10	ENSG00000141458	NPC1	protein_coding	-1.71651916614352	6.55845936483543e-60
ENST00000332966.8	ENSG00000184347	SLIT3	protein_coding	-1.91275753053764	8.08180171041447e-60
ENST00000335934.8	ENSG00000115129	TP53I3	protein_coding	-1.21015049694761	1.35937730468909e-58
ENST00000647553.1	ENSG00000178401	DNAJC22	nonsense_mediated_decay	1.38201354368965	2.76668980316491e-58
ENST00000331817.6	ENSG00000135480	KRT7	protein_coding	-1.20951754349306	3.87170488837455e-58
ENST00000262067.5	ENSG00000106537	TSPAN13	protein_coding	1.35668288927873	8.04609570719783e-58
ENST00000374525.5	ENSG00000157654	PALM2AKAP2	protein_coding	-1.39359764534791	4.21575152100253e-57
